,,Power,Xt,P,P_norm,24h X_t,24h X_t-1,24h X_t-2,24h X_t-3,24h X_t-4,,1h
2022/1/29,7:00:00,1.077659555,10.06039932,1027.6,0.843373494,8.451925,8.548581,8.5014925,8.311274,8.035772,,9.833645821
2022/1/29,8:00:00,1.088641182,10.09454562,1027.9,0.879518072,8.253013,8.451925,8.548581,8.5014925,8.311274,,9.946107864
2022/1/29,9:00:00,1.069783094,10.02906437,1028.3,0.927710843,8.013892,8.253013,8.451925,8.548581,8.5014925,,9.930044174
2022/1/29,10:00:00,0.723316873,8.734992154,1028.5,0.951807229,7.783125,8.013892,8.253013,8.451925,8.548581,,9.782913208
2022/1/29,11:00:00,0.486859871,7.688810328,1028.8,0.987951807,7.516323,7.783125,8.013892,8.253013,8.451925,,7.606904507
2022/1/29,12:00:00,0.581619516,8.192492,1028.9,1,7.0982203,7.516323,7.783125,8.013892,8.253013,,7.153123856
2022/1/29,13:00:00,0.669018453,8.598741764,1028.5,0.951807229,6.693905,7.0982203,7.516323,7.783125,8.013892,,8.407283783
2022/1/29,14:00:00,0.752781118,8.99264814,1027.8,0.86746988,6.374806,6.693905,7.0982203,7.516323,7.783125,,8.557257652
2022/1/29,15:00:00,0.746086122,8.979861873,1026.7,0.734939759,6.171147,6.374806,6.693905,7.0982203,7.516323,,9.107779503
2022/1/29,16:00:00,0.731408945,8.920213585,1026.5,0.710843373,6.0410385,6.171147,6.374806,6.693905,7.0982203,,8.674957275
2022/1/29,17:00:00,0.601017675,8.336449713,1026.5,0.710843373,5.961865,6.0410385,6.171147,6.374806,6.693905,,8.746240616
2022/1/29,18:00:00,0.550928337,8.090331463,1026.6,0.722891566,5.880525,5.961865,6.0410385,6.171147,6.374806,,7.727916241
2022/1/29,19:00:00,0.51800252,7.889352483,1026.9,0.759036145,5.837975,5.880525,5.961865,6.0410385,6.171147,,7.938350677
2022/1/29,20:00:00,0.461530083,7.562622959,1027.3,0.807228916,5.870597,5.837975,5.880525,5.961865,6.0410385,,7.619132519
2022/1/29,21:00:00,0.495514622,7.739124111,1027.5,0.831325301,5.989352,5.870597,5.837975,5.880525,5.961865,,7.34382391
2022/1/29,22:00:00,0.66382436,8.50799212,1027.3,0.807228916,6.232897,5.989352,5.870597,5.837975,5.880525,,7.851116657
2022/1/29,23:00:00,0.921464736,9.527502032,1027.4,0.819277108,6.602908,6.232897,5.989352,5.870597,5.837975,,8.931658745
2022/1/30,0:00:00,1.156671628,10.37670086,1027.3,0.807228916,7.0296693,6.602908,6.232897,5.989352,5.870597,,10.04458809
2022/1/30,1:00:00,1.282944418,10.81403825,1027.3,0.807228916,7.443189,7.0296693,6.602908,6.232897,5.989352,,10.68260098
